날짜,품목,규격,최저가,최저가_지역,최고가,최고가_지역,가격차이,차이비율(%),금주평균가
2018-04-05,가루비누,"세탁용세제(LG테크),가루형,3.0kg",6750,동래구,8080,동래구,1330,19.7%,"7,415"
2018-04-05,간장,오복왕표 0.9ℓ 1병,5200,동래구,6700,동래구,1500,28.85%,"5,950"
2018-04-05,고등어,30㎝정도 500g 1마리,4987,동래구,5000,동래구,13,0.26%,"4,994"
2018-04-05,달걀,오경슈퍼란60g정도 10개,2400,동래구,2890,동래구,490,20.42%,"2,645"
2018-04-05,닭고기,육계 1.0㎏,6500,동래구,6900,동래구,400,6.15%,"6,700"
2018-04-05,대파,1.0㎏,3400,동래구,4257,동래구,857,25.21%,"3,829"
2018-04-05,돼지고기,삼겹살 500g,7400,동래구,9950,동래구,2550,34.46%,"8,675"
2018-04-05,두부,500g 판두부(국산포장두부 420g) 1모,4365,동래구,4380,동래구,15,0.34%,"4,373"
2018-04-05,라면,신라면 120g 1봉지,676,동래구,680,동래구,4,0.59%,678
2018-04-05,맥주,하이트 500㎖ 1병,1410,동래구,1460,동래구,50,3.55%,"1,435"
2018-04-05,무,2.0㎏ 1개,2723,동래구,3320,동래구,597,21.92%,"3,022"
2018-04-05,밀가루,백설표 중력분1등2.5㎏,3430,동래구,3850,동래구,420,12.24%,"3,640"
2018-04-05,밀감,100g 정도10개,8860,동래구,10470,동래구,1610,18.17%,"9,665"
2018-04-05,배,600g 정도 신고 10개,22000,동래구,22337,동래구,337,1.53%,"22,169"
2018-04-05,배추,2.0㎏ 1포기,3980,동래구,4316,동래구,336,8.44%,"4,148"
2018-04-05,부엌용세제,참그린1.4㎏1봉리필용,3500,동래구,3880,동래구,380,10.86%,"3,690"
2018-04-05,분말커피,맥심 스틱(커피믹스) 모카골드 100T,13750,동래구,13850,동래구,100,0.73%,"13,800"
2018-04-05,사과,300g정도 부사 10개,14200,동래구,21123,동래구,6923,48.75%,"17,662"
2018-04-05,사이다,칠성 PET병 1.5ℓ,1650,동래구,2041,동래구,391,23.7%,"1,846"
2018-04-05,설탕,백설표 정백당 1㎏,1630,동래구,1790,동래구,160,9.82%,"1,710"
2018-04-05,소주,시원소주 360㎖ 1병,1190,동래구,1200,동래구,10,0.84%,"1,195"
2018-04-05,쇠고기,한우등심 1등급 500g,44120,동래구,49000,동래구,4880,11.06%,"46,560"
2018-04-05,식용유,백설표콩기름1.8ℓ,3900,동래구,4780,동래구,880,22.56%,"4,340"
2018-04-05,쌀,정미포장미 20㎏,42600,동래구,49900,동래구,7300,17.14%,"46,250"
2018-04-05,양파,1.0㎏-잎없는것,2420,동래구,2879,동래구,459,18.97%,"2,650"
2018-04-05,우유,부산우유 200㎖ 종이팩,730,동래구,730,동래구,0,0.0%,730
2018-04-05,참기름,오뚜기 320㎖ 1병,5300,동래구,7250,동래구,1950,36.79%,"6,275"
2018-04-05,커피크림,동서 500g 리필용,2500,동래구,2520,동래구,20,0.8%,"2,510"
2018-04-05,콜라,코카콜라 PET병 1.8ℓ,2080,동래구,3130,동래구,1050,50.48%,"2,605"
2018-04-05,화장지,뽀삐플러스30m×30롤(3겹),14200,동래구,14840,동래구,640,4.51%,"14,520"
