날짜,품목,규격,최저가,최저가_지역,최고가,최고가_지역,가격차이,차이비율(%),금주평균가
2021-01-07,가루비누,"세탁용세제(LG테크),가루형,3.0kg",7425,북구,8900,북구,1475,19.87%,"8,163"
2021-01-07,간장,오복왕표 0.9ℓ 1병,5200,북구,6350,북구,1150,22.12%,"5,775"
2021-01-07,갈치,60cm정도 500g 1마리(냉동),6000,북구,13800,북구,7800,130.0%,"9,900"
2021-01-07,고등어,30㎝정도 500g 1마리,4000,북구,4500,북구,500,12.5%,"4,250"
2021-01-07,달걀,오경슈퍼란60g정도 10개,2980,북구,3100,북구,120,4.03%,"3,040"
2021-01-07,닭고기,육계 1.0㎏,6580,북구,7950,북구,1370,20.82%,"7,265"
2021-01-07,대파,1.0㎏,3280,북구,4600,북구,1320,40.24%,"3,940"
2021-01-07,돼지고기,삼겹살 500g,9400,북구,9400,북구,0,0.0%,"9,400"
2021-01-07,두부,500g 판두부(국산포장두부 420g) 1모,1500,북구,5194,북구,3694,246.27%,"3,347"
2021-01-07,라면,신라면 120g 1봉지,676,북구,680,북구,4,0.59%,678
2021-01-07,맥주,하이트 500㎖ 1병,1440,북구,1460,북구,20,1.39%,"1,450"
2021-01-07,무,2.0㎏ 1개,1480,북구,1680,북구,200,13.51%,"1,580"
2021-01-07,밀가루,백설표 중력분1등2.5㎏,3080,북구,3430,북구,350,11.36%,"3,255"
2021-01-07,밀감,100g 정도10개,2380,북구,3090,북구,710,29.83%,"2,735"
2021-01-07,배,600g 정도 신고 10개,30000,북구,40547,북구,10547,35.16%,"35,274"
2021-01-07,배추,2.0㎏ 1포기,2097,북구,2980,북구,883,42.11%,"2,539"
2021-01-07,부엌용세제,참그린1.4㎏1봉리필용,3280,북구,5530,북구,2250,68.6%,"4,405"
2021-01-07,분말커피,맥심 스틱(커피믹스) 모카골드 100T,13850,북구,13850,북구,0,0.0%,"13,850"
2021-01-07,사과,300g정도 부사 10개,25000,북구,26821,북구,1821,7.28%,"25,911"
2021-01-07,사이다,칠성 PET병 1.5ℓ,2316,북구,2800,북구,484,20.9%,"2,558"
2021-01-07,설탕,백설표 정백당 1㎏,1580,북구,1630,북구,50,3.16%,"1,605"
2021-01-07,소주,시원소주 360㎖ 1병,1190,북구,1260,북구,70,5.88%,"1,225"
2021-01-07,쇠고기,한우등심 1등급 500g,57000,북구,59000,북구,2000,3.51%,"58,000"
2021-01-07,식용유,백설표콩기름1.8ℓ,4480,북구,4980,북구,500,11.16%,"4,730"
2021-01-07,쌀,정미포장미 20㎏,57900,북구,63800,북구,5900,10.19%,"60,850"
2021-01-07,양파,1.0㎏-잎없는것,2440,북구,3980,북구,1540,63.11%,"3,210"
2021-01-07,오징어,25cm정도 500g 2마리(냉동),7500,북구,8000,북구,500,6.67%,"7,750"
2021-01-07,우유,부산우유 200㎖ 종이팩,796,북구,800,북구,4,0.5%,798
2021-01-07,참기름,오뚜기 320㎖ 1병,4380,북구,6900,북구,2520,57.53%,"5,640"
2021-01-07,커피크림,동서 500g 리필용,2500,북구,2500,북구,0,0.0%,"2,500"
2021-01-07,콜라,코카콜라 PET병 1.8ℓ,2650,북구,3300,북구,650,24.53%,"2,975"
2021-01-07,화장지,뽀삐플러스30m×30롤(3겹),12500,북구,15773,북구,3273,26.18%,"14,137"
