날짜,품목,규격,최저가,최저가_지역,최고가,최고가_지역,가격차이,차이비율(%),금주평균가
2023-04-13,커피크림,동서 500g 리필용,3000,동래구,3300,동래구,300,10.0%,"3,150"
2023-04-13,콜라,코카콜라 PET병 1.8ℓ,3730,동래구,3980,동래구,250,6.7%,"3,855"
2023-04-13,화장지,뽀삐플러스30m×30롤(3겹),16884,동래구,19600,동래구,2716,16.09%,"18,242"
2023-07-13,가루비누,"세탁용세제(LG테크),가루형,3.0kg",9375,동래구,11480,동래구,2105,22.45%,"10,428"
2023-07-13,간장,오복왕표 0.9ℓ 1병,7500,동래구,8420,동래구,920,12.27%,"7,960"
2023-07-13,갈치,60cm정도 500g 1마리(냉동),9900,동래구,14240,동래구,4340,43.84%,"12,070"
2023-07-13,고등어,30㎝정도 500g 1마리,4900,동래구,4980,동래구,80,1.63%,"4,940"
2023-07-13,달걀,오경슈퍼란60g정도 10개,3990,동래구,4400,동래구,410,10.28%,"4,195"
2023-07-13,닭고기,육계 1.0㎏,7916,동래구,10900,동래구,2984,37.7%,"9,408"
2023-07-13,대파,1.0㎏,3276,동래구,3990,동래구,714,21.79%,"3,633"
2023-07-13,돼지고기,삼겹살 500g,11900,동래구,13200,동래구,1300,10.92%,"12,550"
2023-07-13,두부,500g 판두부(국산포장두부 420g) 1모,5194,동래구,5660,동래구,466,8.97%,"5,427"
2023-07-13,라면,신라면 120g 1봉지,780,동래구,780,동래구,0,0.0%,780
2023-07-13,맥주,하이트 500㎖ 1병,1550,동래구,1580,동래구,30,1.94%,"1,565"
2023-07-13,무,2.0㎏ 1개,1890,동래구,1900,동래구,10,0.53%,"1,895"
2023-07-13,밀가루,백설표 중력분1등2.5㎏,4600,동래구,4980,동래구,380,8.26%,"4,790"
2023-07-13,밀감,100g 정도10개,9900,동래구,11000,동래구,1100,11.11%,"10,450"
2023-07-13,배,600g 정도 신고 10개,29300,동래구,32864,동래구,3564,12.16%,"31,082"
2023-07-13,배추,2.0㎏ 1포기,3110,동래구,4988,동래구,1878,60.39%,"4,049"
2023-07-13,부엌용세제,참그린1.4㎏1봉리필용,7900,동래구,9500,동래구,1600,20.25%,"8,700"
2023-07-13,분말커피,맥심 스틱(커피믹스) 모카골드 100T,16480,동래구,18400,동래구,1920,11.65%,"17,440"
2023-07-13,사과,300g정도 부사 10개,27500,동래구,33111,동래구,5611,20.4%,"30,306"
2023-07-13,사이다,칠성 PET병 1.5ℓ,2820,동래구,2980,동래구,160,5.67%,"2,900"
2023-07-13,설탕,백설표 정백당 1㎏,1980,동래구,2180,동래구,200,10.1%,"2,080"
2023-07-13,소주,시원소주 360㎖ 1병,1380,동래구,1380,동래구,0,0.0%,"1,380"
2023-07-13,쇠고기,한우등심 1등급 500g,33000,동래구,54500,동래구,21500,65.15%,"43,750"
2023-07-13,식용유,백설표콩기름1.8ℓ,7980,동래구,8480,동래구,500,6.27%,"8,230"
2023-07-13,쌀,정미포장미 20㎏,49900,동래구,49900,동래구,0,0.0%,"49,900"
2023-07-13,양파,1.0㎏-잎없는것,2066,동래구,2900,동래구,834,40.37%,"2,483"
2023-07-13,오징어,25cm정도 500g 2마리(냉동),5900,동래구,9980,동래구,4080,69.15%,"7,940"
2023-07-13,우유,부산우유 200㎖ 종이팩,930,동래구,933,동래구,3,0.32%,932
2023-07-13,참기름,오뚜기 320㎖ 1병,10600,동래구,10600,동래구,0,0.0%,"10,600"
2023-07-13,커피크림,동서 500g 리필용,3000,동래구,3300,동래구,300,10.0%,"3,150"
2023-07-13,콜라,코카콜라 PET병 1.8ℓ,2600,동래구,3980,동래구,1380,53.08%,"3,290"
2023-07-13,화장지,뽀삐플러스30m×30롤(3겹),16710,동래구,16884,동래구,174,1.04%,"16,797"
2023-10-12,가루비누,"세탁용세제(LG테크),가루형,3.0kg",7425,동래구,8175,동래구,750,10.1%,"7,800"
2023-10-12,간장,오복왕표 0.9ℓ 1병,7500,동래구,8350,동래구,850,11.33%,"7,925"
2023-10-12,갈치,60cm정도 500g 1마리(냉동),9500,동래구,16142,동래구,6642,69.92%,"12,821"
2023-10-12,고등어,30㎝정도 500g 1마리,4900,동래구,4950,동래구,50,1.02%,"4,925"
2023-10-12,달걀,오경슈퍼란60g정도 10개,3990,동래구,4400,동래구,410,10.28%,"4,195"
2023-10-12,닭고기,육계 1.0㎏,7916,동래구,10950,동래구,3034,38.33%,"9,433"
2023-10-12,대파,1.0㎏,4490,동래구,5250,동래구,760,16.93%,"4,870"
2023-10-12,돼지고기,삼겹살 500g,9150,동래구,14500,동래구,5350,58.47%,"11,825"
2023-10-12,두부,500g 판두부(국산포장두부 420g) 1모,5194,동래구,5680,동래구,486,9.36%,"5,437"
2023-10-12,라면,신라면 120g 1봉지,780,동래구,780,동래구,0,0.0%,780
2023-10-12,맥주,하이트 500㎖ 1병,1550,동래구,1580,동래구,30,1.94%,"1,565"
2023-10-12,무,2.0㎏ 1개,2100,동래구,2490,동래구,390,18.57%,"2,295"
2023-10-12,밀가루,백설표 중력분1등2.5㎏,4430,동래구,4980,동래구,550,12.42%,"4,705"
2023-10-12,밀감,100g 정도10개,9900,동래구,12300,동래구,2400,24.24%,"11,100"
2023-10-12,배,600g 정도 신고 10개,25900,동래구,30306,동래구,4406,17.01%,"28,103"
2023-10-12,배추,2.0㎏ 1포기,6780,동래구,7990,동래구,1210,17.85%,"7,385"
2023-10-12,부엌용세제,참그린1.4㎏1봉리필용,5500,동래구,8900,동래구,3400,61.82%,"7,200"
2023-10-12,분말커피,맥심 스틱(커피믹스) 모카골드 100T,16480,동래구,18400,동래구,1920,11.65%,"17,440"
2023-10-12,사과,300g정도 부사 10개,29800,동래구,31500,동래구,1700,5.7%,"30,650"
2023-10-12,사이다,칠성 PET병 1.5ℓ,2320,동래구,2980,동래구,660,28.45%,"2,650"
