날짜,품목,규격,최저가,최저가_지역,최고가,최고가_지역,가격차이,차이비율(%),금주평균가
2017-04-06,가루비누,"세탁용세제(LG테크),가루형,3.0kg",6250,동래구,14850,남구,8600,137.6%,"6,840"
2017-04-06,간장,오복왕표 0.9ℓ 1병,4750,북구,6900,해운대구,2150,45.26%,"5,500"
2017-04-06,고등어,30㎝정도 500g 1마리,3878,사상구,8292,해운대구,4414,113.82%,"4,995"
2017-04-06,달걀,오경슈퍼란60g정도 10개,2980,해운대구,3900,동래구,920,30.87%,"3,173"
2017-04-06,닭고기,육계 1.0㎏,4742,해운대구,8514,사상구,3772,79.54%,"5,237"
2017-04-06,대파,1.0㎏,2780,북구,5380,사상구,2600,93.53%,"4,019"
2017-04-06,돼지고기,삼겹살 500g,6700,동래구,13950,부산진구,7250,108.21%,"8,800"
2017-04-06,두부,500g 판두부(국산포장두부 420g) 1모,3480,북구,5300,남구,1820,52.3%,"3,923"
2017-04-06,라면,신라면 120g 1봉지,676,남구,680,동래구,4,0.59%,676
2017-04-06,맥주,하이트 500㎖ 1병,1320,사상구,1460,사하구,140,10.61%,"1,325"
2017-04-06,무,2.0㎏ 1개,1580,북구,4968,북구,3388,214.43%,"3,274"
2017-04-06,밀가루,백설표 중력분1등2.5㎏,2920,남구,3790,사하구,870,29.79%,"3,105"
2017-04-06,밀감,100g 정도10개,6658,사하구,12375,동래구,5717,85.87%,"8,296"
2017-04-06,배,600g 정도 신고 10개,11900,부산진구,37578,동래구,25678,215.78%,"11,900"
2017-04-06,배추,2.0㎏ 1포기,1674,남구,3980,북구,2306,137.75%,"2,327"
2017-04-06,부엌용세제,참그린1.4㎏1봉리필용,1390,사상구,6800,동래구,5410,389.21%,"4,060"
2017-04-06,분말커피,맥심 스틱(커피믹스) 모카골드 100T,9900,사하구,14800,사상구,4900,49.49%,"10,900"
2017-04-06,사과,300g정도 부사 10개,9740,해운대구,20856,동래구,11116,114.13%,"11,594"
2017-04-06,사이다,칠성 PET병 1.5ℓ,1566,사하구,2630,동래구,1064,67.94%,"1,946"
2017-04-06,설탕,백설표 정백당 1㎏,1580,남구,1790,동래구,210,13.29%,"1,580"
2017-04-06,소주,시원소주 360㎖ 1병,1190,남구,1200,동래구,10,0.84%,"1,190"
2017-04-06,쇠고기,한우등심 1등급 500g,27900,북구,49950,부산진구,22050,79.03%,"33,700"
2017-04-06,식용유,백설표콩기름1.8ℓ,4420,남구,7690,사하구,3270,73.98%,"5,205"
2017-04-06,쌀,정미포장미 20㎏,29900,해운대구,49900,부산진구,20000,66.89%,"36,833"
2017-04-06,양파,1.0㎏-잎없는것,2164,해운대구,3500,사하구,1336,61.74%,"2,599"
2017-04-06,우유,부산우유 200㎖ 종이팩,730,남구,780,해운대구,50,6.85%,730
2017-04-06,참기름,오뚜기 320㎖ 1병,4280,해운대구,7250,동래구,2970,69.39%,"5,017"
2017-04-06,커피크림,동서 500g 리필용,1996,해운대구,2990,남구,994,49.8%,"2,315"
2017-04-06,콜라,코카콜라 PET병 1.8ℓ,1980,사하구,3598,사상구,1618,81.72%,"2,185"
2017-04-06,화장지,뽀삐플러스30m×30롤(3겹),11793,해운대구,19900,부산진구,8107,68.74%,"16,610"
