날짜,품목,규격,최저가,최저가_지역,최고가,최고가_지역,가격차이,차이비율(%),금주평균가
2017-01-05,가루비누,"세탁용세제(LG테크),가루형,3.0kg",7425,사상구,7425,사상구,0,0.0%,"7,425"
2017-01-05,간장,오복왕표 0.9ℓ 1병,5770,사상구,5823,사상구,53,0.92%,"5,797"
2017-01-05,고등어,30㎝정도 500g 1마리,3560,사상구,3676,사상구,116,3.26%,"3,618"
2017-01-05,달걀,오경슈퍼란60g정도 10개,3290,사상구,3480,사상구,190,5.78%,"3,385"
2017-01-05,닭고기,육계 1.0㎏,7600,사상구,7990,사상구,390,5.13%,"7,795"
2017-01-05,대파,1.0㎏,4281,사상구,5209,사상구,928,21.68%,"4,745"
2017-01-05,돼지고기,삼겹살 500g,8950,사상구,9000,사상구,50,0.56%,"8,975"
2017-01-05,두부,500g 판두부(국산포장두부 420g) 1모,4089,사상구,4089,사상구,0,0.0%,"4,089"
2017-01-05,라면,신라면 120g 1봉지,676,사상구,676,사상구,0,0.0%,676
2017-01-05,맥주,하이트 500㎖ 1병,1320,사상구,1330,사상구,10,0.76%,"1,325"
2017-01-05,무,2.0㎏ 1개,3666,사상구,3898,사상구,232,6.33%,"3,782"
2017-01-05,밀가루,백설표 중력분1등2.5㎏,2980,사상구,3290,사상구,310,10.4%,"3,135"
2017-01-05,밀감,100g 정도10개,2660,사상구,3300,사상구,640,24.06%,"2,980"
2017-01-05,배,600g 정도 신고 10개,18032,사상구,30827,사상구,12795,70.96%,"24,430"
2017-01-05,배추,2.0㎏ 1포기,2096,사상구,2980,사상구,884,42.18%,"2,538"
2017-01-05,부엌용세제,참그린1.4㎏1봉리필용,6774,사상구,6890,사상구,116,1.71%,"6,832"
2017-01-05,분말커피,맥심 스틱(커피믹스) 모카골드 100T,14800,사상구,14800,사상구,0,0.0%,"14,800"
2017-01-05,사과,300g정도 부사 10개,13243,사상구,13790,사상구,547,4.13%,"13,517"
2017-01-05,사이다,칠성 PET병 1.5ℓ,2316,사상구,2450,사상구,134,5.79%,"2,383"
2017-01-05,설탕,백설표 정백당 1㎏,1630,사상구,1630,사상구,0,0.0%,"1,630"
2017-01-05,소주,시원소주 360㎖ 1병,1130,사상구,1130,사상구,0,0.0%,"1,130"
2017-01-05,식용유,백설표콩기름1.8ℓ,5950,사상구,7140,사상구,1190,20.0%,"6,545"
2017-01-05,쌀,정미포장미 20㎏,32900,사상구,35800,사상구,2900,8.81%,"34,350"
2017-01-05,양파,1.0㎏-잎없는것,1663,사상구,1920,사상구,257,15.45%,"1,792"
2017-01-05,우유,부산우유 200㎖ 종이팩,730,사상구,730,사상구,0,0.0%,730
2017-01-05,참기름,오뚜기 320㎖ 1병,7200,사상구,7250,사상구,50,0.69%,"7,225"
2017-01-05,커피크림,동서 500g 리필용,2580,사상구,2980,사상구,400,15.5%,"2,780"
2017-01-05,콜라,코카콜라 PET병 1.8ℓ,2980,사상구,2990,사상구,10,0.34%,"2,985"
2017-01-05,화장지,뽀삐플러스30m×30롤(3겹),13066,사상구,18562,사상구,5496,42.06%,"15,814"
